"","pmid","citing"
"1",27352932,29105090
"2",27352932,28729527
"3",27352932,28379676
"4",26905656,29642893
"5",26905656,29336672
"6",26905656,28848586
"7",26905656,28743799
"8",26905656,28659934
"9",26905656,27630659
"10",26905656,27503468
"11",26476447,29259104
"12",26476447,29026434
"13",26476447,28812690
"14",26476447,28442501
"15",26476447,28439467
"16",26476447,28400782
"17",26476447,28295823
"18",26476447,28261246
"19",26476447,28068911
"20",26476447,27789738
"21",26476447,27756819
"22",26476447,27352932
"23",26287479,29708529
"24",26287479,29208732
"25",26287479,29033954
"26",26287479,29019936
"27",26287479,29018456
"28",26287479,28659934
"29",26287479,28421089
"30",26287479,28399805
"31",26287479,28217137
"32",26287479,27965689
"33",26287479,27707746
"34",26287479,27630659
"35",26287479,27503468
"36",26287479,27422554
"37",26287479,26535051
"38",26287479,26442084
"39",26287479,26380074
"40",26287479,26287479
"41",25657812,29018456
"42",25657812,28286541
"43",25657812,27768815
"44",25657812,27630659
"45",25657812,27135332
"46",25657812,26802041
"47",25614065,29636899
"48",25614065,29432520
"49",25614065,29422488
"50",25614065,29155915
"51",25614065,29018456
"52",25614065,28659934
"53",25614065,28421089
"54",25614065,28255663
"55",25614065,28217137
"56",25614065,27847508
"57",25614065,27255099
"58",25614065,27135332
"59",25614065,26666975
"60",25614065,26535051
"61",25614065,26287479
"62",25614065,26224880
"63",25614065,25740921
"64",24744766,29509915
"65",24744766,28667273
"66",24744766,26727224
"67",24744766,25278944
"68",24515834,29432520
"69",24515834,28419363
"70",24515834,28377779
"71",24515834,28255663
"72",24515834,27539602
"73",24515834,25844121
"74",24515834,25770586
"75",24515834,25614065
"76",24515834,25538721
"77",24515834,25370944
"78",24143806,26558398
"79",24143806,26484978
"80",24143806,26224558
"81",24143806,26106402
"82",24143806,25988163
"83",24143806,25906686
"84",24143806,25215523
"85",24143806,24734037
"86",24143806,24515834
"87",24107223,29850536
"88",24107223,29760766
"89",24107223,29636899
"90",24107223,29449872
"91",24107223,29375648
"92",24107223,29375647
"93",24107223,29238398
"94",24107223,29209576
"95",24107223,29186425
"96",24107223,29018456
"97",24107223,28744185
"98",24107223,28255663
"99",24107223,28217137
"100",24107223,27965689
"101",24107223,27630659
"102",24107223,27529152
"103",24107223,27499682
"104",24107223,27375628
"105",24107223,27168248
"106",24107223,27135334
"107",23286457,28717384
"108",23286457,27135332
"109",23286457,27052342
"110",23286457,26474640
"111",23286457,25750658
"112",23286457,24965011
"113",23286457,24604732
"114",23286457,24515834
"115",23286457,24143806
"116",23286457,24107223
"117",23286457,23766367
"118",21771915,29636899
"119",21771915,29422488
"120",21771915,29321188
"121",21771915,29267846
"122",21771915,29218137
"123",21771915,29114015
"124",21771915,29048559
"125",21771915,29030416
"126",21771915,29020748
"127",21771915,28894638
"128",21771915,28785272
"129",21771915,28717384
"130",21771915,28659934
"131",21771915,28542446
"132",21771915,28465462
"133",21771915,28286542
"134",21771915,28286541
"135",21771915,28265297
"136",21771915,28217137
"137",21771915,28186631
"138",20453027,29018456
"139",20453027,28717384
"140",20453027,28419363
"141",20453027,28217137
"142",20453027,28163361
"143",20453027,27539602
"144",20453027,27505000
"145",20453027,27345032
"146",20453027,27299601
"147",20453027,26428065
"148",20453027,25614065
"149",20453027,25370944
"150",20453027,24651371
"151",20453027,24515834
"152",20453027,24420931
"153",20453027,24143806
"154",20453027,23967001
"155",20453027,23580618
"156",20453027,23286457
"157",20453027,23235697
"158",29610582,29745378
"159",29604101,29604101
"160",29567711,29705908
"161",29505568,29505560
"162",29432176,29557778
"163",29425844,29724047
"164",29389753,29758073
"165",29386205,29386205
"166",29382274,29634779
"167",29372669,29661983
"168",29340881,29651384
"169",29309036,29565245
"170",29309036,29465398
"171",29309036,29309035
"172",29309035,29465398
"173",29309035,29309036
"174",29301786,29563112
"175",29255455,29472946
"176",29239145,29666196
"177",29223657,29651278
"178",29223657,29449757
"179",29211708,29440755
"180",29191063,29755656
"181",29191063,29426343
"182",29155438,29576969
"183",29153391,29670598
"184",29153391,29225705
"185",29112921,29681916
"186",29093724,29552023
"187",29069308,29337901
"188",29038297,29437869
"189",29028794,29467813
"190",29018194,29459487
"191",29018194,29444933
"192",29018194,29317670
"193",29016854,29662492
"194",29016854,29622565
"195",29016854,29459486
"196",29016854,29459181
"197",29016854,29315404
"198",29016854,28860276
"199",28974576,29568354
"200",28957348,29158066
"201",28947736,29734339
"202",28945883,29677183
"203",28930601,29361689
"204",28916913,29027987
"205",28903362,29651384
"206",28903362,29057234
"207",28886359,29239145
"208",28883657,29491387
"209",28869113,29739320
"210",28855224,29636834
"211",28855224,29231904
"212",28854904,29641467
"213",28854904,29439669
"214",28846101,29290627
"215",28835460,29734329
"216",28824558,29332159
"217",28824558,29187847
"218",28812058,29295510
"219",28810182,29682159
"220",28810182,29176034
"221",28806172,29565245
"222",28806172,29239145
"223",28803918,29239145
"224",28803918,29066607
"225",28797643,29705908
"226",28797643,29705598
"227",28797643,29688421
"228",28797643,29643204
"229",28797643,29610582
"230",28797643,29565245
"231",28797643,29239145
"232",28781121,29192388
"233",28781121,29142897
"234",28781121,29066607
"235",28781121,28887438
"236",28779180,29074164
"237",28779180,29057015
"238",28745987,29610582
"239",28745987,29332159
"240",28745987,29301509
"241",28745987,29239145
"242",28745987,28935117
"243",28724248,29703190
"244",28677663,29712937
"245",28677663,29209557
"246",28676534,29286006
"247",28676534,29237021
"248",28672131,29760810
"249",28672131,29686887
"250",28653997,29593697
"251",28653997,29351742
"252",28653997,29118853
"253",28642606,29743957
"254",28642606,29565245
"255",28642606,29332159
"256",28642606,29309036
"257",28642606,29206283
"258",28642606,29109480
"259",28633017,29515758
"260",28633017,29437694
"261",28633017,29360036
"262",28633017,28827804
"263",28630288,29239145
"264",28630288,28663337
"265",28625654,29682505
"266",28586350,29565245
"267",28585566,29239145
"268",28585566,29123232
"269",28585566,29067016
"270",28574624,28484201
"271",28572862,29614786
"272",28572862,29209433
"273",28561751,29682505
"274",28561751,29643204
"275",28561751,29593697
"276",28561751,29565245
"277",28561751,28932623
"278",28542388,29746549
"279",28540987,29245123
"280",28536860,29755690
"281",28536860,29038612
"282",28536242,29713536
"283",28535662,29740481
"284",28529882,29214193
"285",28529146,28824614
"286",28494444,28678188
"287",28489894,29209557
"288",28483779,29705598
"289",28483779,29648536
"290",28483779,29643204
"291",28483779,29239145
"292",28483779,28806172
"293",28450881,29360978
"294",28450881,29281015
"295",28446631,29760810
"296",28445481,29721210
"297",28445481,28968978
"298",28445481,28926425
"299",28431148,29565245
"300",28431148,29462141
"301",28431148,29239145
"302",28429755,29555751
"303",28429755,28482907
"304",28415677,29312360
"305",28414318,29599899
"306",28414318,29437961
"307",28414318,29147078
"308",28414318,28867387
"309",28408706,29155854
"310",28406723,29707148
"311",28406723,29675018
"312",28406723,29552640
"313",28406723,29437869
"314",28406723,29391185
"315",28406723,29361689
"316",28406723,29158191
"317",28406723,29152088
"318",28406723,29088713
"319",28406723,29085667
"320",28406723,29038297
"321",28405513,29437869
"322",28390408,29564396
"323",28389878,28646430
"324",28378885,29495584
"325",28330462,29382047
"326",28330462,28685070
"327",28321593,28815442
"328",28300471,28827334
"329",28293326,28770016
"330",28270149,29760810
"331",28261276,29495543
"332",28258386,29021752
"333",28231763,29423137
"334",28231763,29211049
"335",28231763,28765607
"336",28222775,29499699
"337",28220356,29460123
"338",28220356,29239145
"339",28220356,29201157
"340",28220356,29067016
"341",28194445,29682505
"342",28191261,28247099
"343",28188229,29496693
"344",28188229,29255497
"345",28188229,29212206
"346",28188229,29109480
"347",28187749,29362952
"348",28175298,29610583
"349",28175298,29565245
"350",28175298,29309036
"351",28175298,29209557
"352",28175298,28806172
"353",28175298,28586350
"354",28175298,28450881
"355",28174687,29396181
"356",28174687,29100015
"357",28174687,28272986
"358",28171595,29259021
"359",28171595,28904145
"360",28171595,28690481
"361",28171595,28575352
"362",28171595,28387368
"363",28171595,28146567
"364",28167501,29216379
"365",28167501,28905911
"366",28167501,28858257
"367",28167501,28760140
"368",28167501,28735107
"369",28167501,28202537
"370",28166262,29593697
"371",28166262,29462141
"372",28160561,29039788
"373",28149329,28851390
"374",28141798,29042681
"375",28134931,29510672
"376",28134931,29320161
"377",28134931,29109402
"378",28134931,29104214
