"","pubMedID","sortpubdate","PMCID","pubMedID_homo","LINE1","L1_Retrotransposons","long_interspersed_nuclear_element","long_interspersed_element"
"1",29878267,2018-06-01,NA,NA,1,NA,1,1
"2",29874575,2018-06-05,NA,NA,1,NA,1,1
"3",29870893,2018-05-19,NA,NA,1,NA,NA,NA
"4",29866269,2018-10-16,NA,NA,1,NA,NA,NA
"5",29863427,2018-06-04,NA,NA,1,NA,NA,NA
"6",29862333,2018-03-19,"PMC5968041",NA,1,NA,NA,NA
"7",29860216,2018-05-31,NA,NA,1,NA,NA,NA
"8",29857913,2018-07-01,NA,NA,1,NA,NA,NA
"9",29854080,2018-03-22,"PMC5944233",NA,1,NA,NA,NA
"10",29851926,2018-05-31,NA,NA,1,NA,1,NA
"11",29845737,2018-05-30,NA,NA,1,NA,1,1
"12",29844259,2018-05-29,NA,NA,1,NA,NA,NA
"13",29802231,2018-05-25,NA,NA,1,NA,NA,NA
"14",29795620,2018-05-24,NA,NA,1,NA,NA,NA
"15",29795014,2018-05-24,NA,NA,1,NA,NA,NA
"16",29793068,2018-05-07,NA,NA,1,NA,NA,1
"17",29783147,2018-05-18,NA,NA,1,NA,NA,NA
"18",29774526,2018-05-17,NA,NA,1,NA,NA,1
"19",29772428,2018-05-09,NA,NA,1,NA,1,NA
"20",29764913,2018-05-15,NA,NA,1,NA,NA,NA
"21",29763474,2018-05-15,"PMC5953443",NA,1,NA,1,NA
"22",29760810,2018-05-08,"PMC5941629",NA,1,NA,NA,NA
"23",29755690,2018-04-17,"PMC5945516",NA,1,NA,NA,1
"24",29755656,2018-04-17,"PMC5945544",NA,1,NA,NA,NA
"25",29748604,2018-05-10,"PMC5945737",NA,1,NA,NA,NA
"26",29745378,2018-05-01,"PMC5930422",NA,1,NA,NA,NA
"27",29743337,2018-05-09,NA,NA,1,NA,NA,NA
"28",29735783,2018-05-01,NA,NA,1,NA,NA,NA
"29",29728366,2018-06-01,NA,NA,NA,NA,1,1
"30",29725769,2018-05-03,NA,NA,1,NA,1,1
"31",29724131,2018-04-01,NA,NA,1,1,NA,NA
"32",29719459,2018-04-01,"PMC5925623",NA,1,NA,NA,NA
"33",29713361,2018-03-11,"PMC5866876",NA,1,NA,NA,NA
"34",29709066,2018-06-01,NA,NA,1,NA,NA,1
"35",29708882,2018-04-30,NA,NA,1,NA,NA,NA
"36",29702037,2018-04-27,NA,NA,1,NA,NA,NA
"37",29700330,2018-04-26,"PMC5919926",NA,1,NA,NA,NA
"38",29697392,2018-03-01,NA,NA,1,NA,1,1
"39",29688033,2018-05-01,NA,NA,1,NA,NA,NA
"40",29659951,2018-04-01,NA,NA,1,NA,NA,NA
"41",29651384,2018-04-10,"PMC5893994",NA,1,NA,NA,NA
"42",29651348,2018-01-31,"PMC5831604",NA,1,NA,NA,NA
"43",29649143,2018-04-12,"PMC5923777",NA,1,NA,NA,NA
"44",29643204,2018-05-01,"PMC5932605",NA,1,NA,NA,1
"45",29635492,2018-04-01,NA,NA,1,NA,1,1
"46",29633546,2018-04-06,NA,NA,1,NA,NA,NA
"47",29628482,2018-04-07,NA,NA,1,NA,1,1
"48",29626931,2018-04-01,NA,NA,NA,NA,1,1
"49",29625192,2018-07-01,NA,NA,1,NA,NA,NA
"50",29618374,2018-04-04,"PMC5883305",NA,1,NA,NA,NA
"51",29616330,2018-03-28,NA,NA,1,NA,NA,NA
"52",29616129,2018-05-01,"PMC5876460",NA,1,NA,NA,1
"53",29615469,2018-05-07,"PMC5940259",NA,NA,NA,NA,1
"54",29610583,2018-03-28,"PMC5872511",NA,1,NA,NA,NA
"55",29610582,2018-03-28,"PMC5872582",NA,1,NA,NA,NA
"56",29604101,2018-05-01,"PMC5980456",NA,1,NA,NA,NA
"57",29602758,2018-03-27,NA,NA,1,NA,NA,NA
"58",29596909,2018-03-31,NA,NA,1,NA,1,1
"59",29582426,2018-03-27,NA,NA,NA,NA,1,NA
"60",29571043,2018-04-01,NA,NA,1,NA,NA,NA
"61",29568354,2018-01-19,"PMC5862575",NA,1,NA,NA,NA
"62",29567711,2018-03-23,NA,NA,1,1,1,1
"63",29565245,2018-03-22,"PMC5940361",1,1,NA,NA,NA
"64",29564824,2018-01-01,NA,NA,1,NA,NA,NA
"65",29563767,2018-03-14,"PMC5851326",NA,1,NA,NA,NA
"66",29563112,2018-04-01,"PMC5951185",NA,1,NA,NA,1
"67",29538362,2018-05-01,NA,NA,NA,NA,NA,1
"68",29537884,2018-03-14,NA,NA,1,NA,1,1
"69",29530629,2018-03-09,NA,NA,1,NA,NA,NA
"70",29525183,2018-06-01,NA,NA,1,NA,NA,1
"71",29513082,2018-01-01,NA,NA,1,NA,NA,NA
"72",29505568,2018-03-05,"PMC5860796",NA,NA,1,NA,1
"73",29505560,2018-03-05,"PMC5860798",NA,1,NA,NA,1
"74",29500276,2018-05-15,"PMC5955794",NA,1,NA,NA,NA
"75",29497175,2018-03-01,NA,NA,1,NA,1,1
"76",29496693,2018-03-01,"PMC5892605",NA,1,NA,1,1
"77",29492307,2017-05-03,"PMC5804545",NA,1,NA,NA,1
"78",29465398,2018-02-21,"PMC5821456",NA,1,NA,NA,NA
"79",29458070,2018-02-16,NA,NA,1,NA,NA,NA
"80",29444236,2018-02-15,NA,NA,1,NA,NA,NA
"81",29441720,2018-03-01,NA,NA,NA,NA,1,1
"82",29432176,2018-02-20,"PMC5828610",NA,1,NA,NA,1
"83",29425844,2018-05-30,NA,NA,1,NA,NA,NA
"84",29413799,2018-03-01,NA,NA,1,NA,NA,NA
"85",29412867,2018-02-01,NA,NA,1,NA,1,1
"86",29396793,2018-03-01,NA,NA,1,1,NA,1
"87",29393154,2018-01-01,NA,NA,1,NA,NA,1
"88",29390960,2018-02-01,"PMC5796560",NA,1,NA,NA,NA
"89",29389753,2018-01-01,NA,NA,1,NA,NA,NA
"90",29386641,2018-01-31,"PMC5792623",NA,1,NA,NA,1
"91",29386205,2018-01-31,"PMC5850253",NA,NA,NA,1,1
"92",29382274,2018-01-01,"PMC5795647",NA,1,NA,NA,NA
"93",29374593,2018-03-01,NA,NA,1,NA,NA,1
"94",29372669,2018-01-01,"PMC5836973",NA,1,NA,NA,NA
"95",29367313,2018-01-24,"PMC5848613",NA,1,NA,NA,NA
"96",29351416,2018-03-01,NA,NA,1,NA,1,1
"97",29347817,2018-03-09,NA,NA,1,NA,NA,NA
"98",29340881,2018-05-01,NA,NA,1,NA,NA,NA
"99",29315404,2018-02-28,"PMC5829647",NA,1,NA,1,1
"100",29315213,2018-01-09,"PMC5793176",NA,1,NA,NA,NA
"101",29312227,2017-12-19,"PMC5742130",NA,1,NA,NA,NA
"102",29312197,2017-12-12,"PMC5733090",NA,NA,NA,1,NA
"103",29310734,2018-01-09,NA,NA,1,NA,NA,1
"104",29309036,2018-01-08,"PMC5821460",NA,1,NA,NA,NA
"105",29309035,2018-01-08,"PMC5821459",NA,1,NA,1,1
"106",29308092,2018-01-03,"PMC5753491",NA,1,NA,1,1
